,0.0,3.0,4.0,5.0,9.0,11.0,12.0,15.0,20.0,21.0,23.0,24.0,25.0,29.0,30.0,31.0,32.0,33.0,39.0,41.0,46.0,48.0,49.0,50.0,62.0,255.0
0.0,414401484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358558986
1.0,0,8492135,33402513,96347,25,26178,2759317,1601947,0,1392975,56955,5397,269356,13155,362,2423,35767,52760,13597,61281,4578,4935,3673,32,0,609
2.0,0,25599847,330399060,158678,12147,194480,16495827,25691668,13160,24595624,220462,78206,1302517,268018,21036,19679,57755,257654,19157,237062,19805,66990,49042,5012,0,5548
3.0,0,3443861,55438165,2687,14013,35751,3995212,15594753,8164,8907338,43522,49247,610186,41855,4165,3876,4889,144979,12026,347595,4558,196584,17967,1132,3,180
5.0,0,63836,314770,0,549758,356,19981,178344,0,32455,0,8,156,0,0,0,0,3,125,2978,212,178,0,0,0,13
6.0,0,1195,21085,0,0,0,4184,491,0,162,0,0,274,0,0,0,0,193,0,0,25,54,0,0,0,0
7.0,0,193526,2351119,0,14,10623,410420,152454,0,242929,0,594,11377,307,652,0,0,3384,2711,26080,5334,5597,0,0,0,0
8.0,0,18199,225615,0,9,553,123276,60975,0,33358,0,257,8304,140,80,0,0,977,174,7555,4462,8368,0,0,0,0
9.0,0,1642070,58432467,958,5329,61965,5369533,142900968,48278,24187290,30001,431809,3940121,46131,9565,2011,2403,226884,86170,1554813,11165,52296,1983,90,3,118
11.0,0,640561,3009981,121,31,2941,1635503,416928,0,276377,3449,1043,180955,49792,47,540,571,5566,2599,69555,1435,495,63,0,0,65
12.0,0,1459038,21107219,969,843,35100,7315471,4730586,2981,7649587,5089,20413,682217,144083,1875,1208,260,46033,7662,15908,2152,20797,19121,2,0,690
13.0,0,220437,2399160,97,216,4860,666535,1062250,36,1433955,1844,9019,179955,3477,71,347,21,18260,2156,13501,154,6826,1145,0,0,13
14.0,0,1078802,9604981,267,6679,14402,1075713,18538673,54133,4496539,18412,197301,630612,5941,3241,3377,411,56145,203156,9272431,13037,759120,1139,10,31,11
15.0,0,840303,2333479,3395,5328,114,380391,1933715,725,1477591,13405,44229,301347,334,243,247,1194,15743,3984,1303303,62646,3289141,7632,0,0,77
16.0,0,12403,83999,0,0,43,25907,136151,476095,131126,0,410,568,0,0,0,0,3485,0,31776,0,9190,0,0,0,164
17.0,0,62975,169655,27726,39,49554,15886,78361,112,98861,29328,4406,59415,63,342,17783,7247,869439,1588,2330,179,23625,2078,595,0,10073
18.0,0,56137,772850,5519,4,17367,62660,557959,709,581768,22556,3944,129823,243,1464,131884,17062,4534418,149,16410,64,6219,913,506,0,213
19.0,0,102816,316765,1576,21,2223,33762,517325,491,320626,20564,2620303,209313,606,1382,438,468,14398,681,25377,199,8391,12486,0,0,187
20.0,0,1900,16626,688,0,0,13028,26965,0,33230,122907,2204,57645,147,0,119,475,2268,0,822,0,121,3069,4,0,313
21.0,0,12783,10968,1640,0,0,1404,10380,0,17366,482393,8606,35501,0,0,516,550,12085,0,207,0,87,4120,5,0,4632
23.0,0,71,105,0,0,50,8,5,0,6,0,0,768,0,0,0,0,428,0,0,0,0,0,0,0,0
24.0,0,2280,166773,1860,0,97,5214,20796,0,91816,21294,6150,39067,21,51847,321941,11226,41903,11,7016,0,783,51,1791,0,131
25.0,0,2193,78102,73,69,66,53485,128290,0,66639,265643,5244,56662,246,443,159,887,2281,0,11917,0,739,11,7,0,3
26.0,0,67786,257470,0,65,0,51058,198443,511,40244,195,361,188,0,0,0,0,931,0,32399,0,127,0,0,0,4
